strain,rep,hpi,source,target,weight,tx,ty,px_size_x_source,px_size_y_source,px_size_x_target,px_size_y_target,warning
PR8,0,0,0,5,3.547403174354851e-09,-6.931910594698114e-07,5.731107288993651e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,0,1,3.2954331311731507e-09,6.53953825055765e-07,7.909236755272473e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,1,4,3.5262550485542114e-09,-6.570433923394327e-07,1.1837079783412034e-06,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,4,3,3.2363920199916315e-09,4.862945020658784e-07,6.779493251557336e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,2,3,3.5244866157314746e-09,-7.166716235046679e-07,7.564237448768206e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,6,11,3.547403174354851e-09,-6.001957471759954e-07,8.025610047065572e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,6,7,3.2561004952663346e-09,5.336675397020761e-07,6.791851029621946e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,7,10,3.564972010989273e-09,-8.089460449501291e-07,7.446834874128954e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,7,8,3.2150428839670913e-09,5.708450789626795e-07,6.476717622038144e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,0,8,9,3.5842986745644655e-09,-6.87732864857837e-07,6.921612364465929e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,0,5,3.772586044917091e-09,-7.109044476108235e-07,4.804243487804128e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,0,1,2.953863544369582e-09,5.960763568691092e-07,6.208956761020478e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,1,4,3.8145641201021116e-09,-7.88349093415698e-07,5.198675379777018e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,4,7,3.837491284606095e-09,-5.233690148278545e-07,2.368651636274856e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,4,3,2.9767801029936814e-09,7.619849659874225e-07,7.853625035236515e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,5,6,3.8145641201021116e-09,-6.163643762286765e-07,6.498344838558847e-08,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,2,3,3.8145641201021116e-09,-6.825836024207261e-07,4.973138686814488e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,1,3,8,3.791658167359276e-09,-7.491118590016515e-07,5.6435698766697735e-08,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,0,5,3.934524876716235e-09,-4.4417370425841273e-07,9.91229237904366e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,0,1,2.8794097867399457e-09,5.49321232689645e-07,7.113164062843145e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,1,4,3.970402212392466e-09,-5.566331676718202e-07,9.251129399969318e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,1,2,2.8593085880494054e-09,3.8289768750621944e-07,6.659000864099387e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,4,7,3.842880757131107e-09,-7.889670068724315e-07,8.454026442553717e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,5,6,3.8677142103077716e-09,-4.887661067858065e-07,4.948422148545146e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,2,3,3.949476810083139e-09,-6.349016326096646e-07,7.532312493085377e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,2,3,8,3.886680284243024e-09,-6.453030857685015e-07,3.860902321815084e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,0,5,3.4141854460795406e-09,-7.417999240194762e-07,4.331542885358363e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,1,4,3.4315421651017014e-09,-8.283072186780992e-07,2.4561888030637035e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,4,3,2.6313218186755695e-09,6.021524649378173e-07,6.379911998933323e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,4,5,2.6299888005528896e-09,-3.9741855552544553e-07,-6.732120213921138e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,2,3,3.473202063870464e-09,-6.249120890173128e-07,1.0633186173818811e-06,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,6,11,3.494032013256249e-09,-6.563225014910779e-07,4.500438268519996e-08,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,6,7,2.5726496964877127e-09,5.775390513811151e-07,6.188359809486047e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,7,10,3.511282673472989e-09,-6.364463916979955e-07,1.4078029632675332e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,7,8,2.575190110868532e-09,3.914454494018617e-07,6.042121600912604e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,3,8,9,3.490473935849691e-09,-7.508625728732247e-07,3.013337005014648e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,0,5,3.8598971848285594e-09,-5.101869756672198e-07,3.216216953075292e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
PR8,0,4,0,1,2.816809639612083e-09,9.250100117123165e-07,5.789808821848307e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,1.029848558861679e-07,
